,Freq. of Parent (%),Count,Leukocytes | Freq. of Parent (%),Leukocytes | Count,Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Count,Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Count,Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Count,"Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q1: CD44- , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q1: CD44- , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q2: CD44+ , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q2: CD44+ , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q3: CD44+ , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q3: CD44+ , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q4: CD44- , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q4: CD44- , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q2: CD4+ , CD8+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q2: CD4+ , CD8+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q1: CD25- , FOXP3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q1: CD25- , FOXP3+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+/FLR4+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+/FLR4+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q3: CD25+ , FOXP3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q3: CD25+ , FOXP3- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q4: CD25- , FOXP3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q4: CD25- , FOXP3- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q5: CD44- , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q5: CD44- , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q6: CD44+ , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q6: CD44+ , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q7: CD44+ , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q7: CD44+ , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q8: CD44- , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q8: CD44- , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q4: CD4- , CD8- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q4: CD4- , CD8- | Count",Leukocytes/Single Cells/LIVE/CD3- | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3- | Count,"Leukocytes/Single Cells/LIVE/CD3-/CD11b+, Ly6G+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/CD11b+, Ly6G+ | Count",Leukocytes/Single Cells/LIVE/CD3-/CD19+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3-/CD19+ | Count,"Leukocytes/Single Cells/LIVE/CD3-/Q1: CD11b- , CD11c+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q1: CD11b- , CD11c+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q2: CD11b+ , CD11c+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q2: CD11b+ , CD11c+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q1: CD19- , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q1: CD19- , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q2: CD19+ , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q2: CD19+ , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q3: CD19+ , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q3: CD19+ , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q4: CD19- , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q4: CD19- , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q4: CD11b- , CD11c- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q4: CD11b- , CD11c- | Count","Leukocytes/Single Cells/LIVE/Q1: NK1.1- , CD3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: NK1.1- , CD3+ | Count","Leukocytes/Single Cells/LIVE/Q2: NK1.1+ , CD3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: NK1.1+ , CD3+ | Count","Leukocytes/Single Cells/LIVE/Q3: NK1.1+ , CD3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: NK1.1+ , CD3- | Count","Leukocytes/Single Cells/LIVE/Q4: NK1.1- , CD3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q4: NK1.1- , CD3- | Count",
A9 Saline_1.fcs,100,150000,42.8,64226,84.8,54449,77.2,42021,50.4,21168,30.7,6495,13.8,897,5.68,369,60.1,3902,20.4,1327,0.86,183,60.1,12719,2.17,276,2.69,342,92.4,316,4.21,535,90.9,11566,10.6,1344,0.17,21.0,29.2,3717,60.0,7637,8.37,1771,49.7,20896,6.57,1372,28.5,5961,2.88,602,9.39,1962,16.2,3379,37.2,1258,4.35,147,2.93,99.0,55.5,1875,71.6,14953,49.0,20570,0.42,177,1.37,577,49.3,20697,
A10 Saline_2.fcs,100,150000,46.8,70244,87.1,61161,80.4,49182,50.0,24612,32.2,7932,12.1,959,6.86,544,61.1,4845,20.0,1584,0.95,234,57.3,14094,2.05,289,3.29,464,94.8,440,4.79,675,89.9,12666,10.5,1478,0.60,84.0,37.1,5231,51.8,7301,9.56,2352,49.9,24527,8.14,1996,35.5,8718,2.71,664,10.4,2548,17.9,4385,38.9,1706,5.47,240,3.19,140,52.4,2299,69.0,16930,34.7,17062,0.37,184,1.51,741,63.4,31195,
A11 Saline_3.fcs,100,150000,49.8,74667,86.3,64435,83.4,53771,51.0,27401,32.5,8901,10.5,933,6.19,551,61.9,5510,21.4,1907,0.96,263,57.3,15689,2.31,362,3.11,488,95.7,467,4.80,753,89.8,14086,10.1,1582,0.65,102,40.4,6337,48.9,7668,9.30,2548,49.0,26329,8.01,2108,38.0,10015,2.38,627,10.3,2714,18.4,4833,38.6,1866,6.31,305,2.92,141,52.2,2521,69.0,18155,34.0,18256,0.41,222,1.58,852,64.1,34441,
A12 Saline_4.fcs,100,150000,51.9,77794,90.0,70034,85.2,59662,50.1,29920,31.8,9500,9.74,925,5.51,523,63.1,5999,21.6,2053,1.06,317,57.6,17228,2.39,411,3.18,547,97.3,532,4.76,820,89.7,15450,8.36,1441,0.48,82.0,32.8,5654,58.3,10051,9.61,2875,49.3,29436,8.61,2535,37.7,11112,2.60,765,11.7,3450,19.2,5641,36.0,2028,5.66,319,2.41,136,56.0,3158,66.5,19580,46.8,27922,0.47,278,1.46,870,51.3,30592,
B9 BCG_1.fcs,100,150000,45.4,68060,91.5,62241,90.5,56336,47.9,26986,35.0,9438,17.3,1636,14.1,1335,44.0,4149,24.6,2318,0.62,167,50.9,13740,3.97,545,3.03,417,98.8,412,4.73,650,88.3,12128,12.1,1666,0.75,103,31.2,4285,55.9,7686,13.5,3641,51.7,29148,5.23,1524,50.8,14796,2.49,725,12.6,3661,12.2,3568,55.1,1965,5.21,186,4.12,147,35.6,1270,72.7,21194,43.9,24747,1.10,617,3.65,2054,51.3,28918,
B10 BCG_2.fcs,100,150000,52.2,78349,89.4,70006,88.0,61622,31.0,19078,31.0,5905,18.8,1113,20.6,1219,45.8,2705,14.7,868,0.80,152,53.5,10214,4.93,504,5.18,529,97.5,516,8.49,867,81.4,8314,14.9,1523,1.09,111,36.0,3672,48.1,4908,14.7,2807,68.7,42358,2.62,1111,66.2,28027,1.42,601,5.38,2279,7.91,3351,39.8,1333,16.0,536,12.0,402,32.2,1080,85.3,36127,27.3,16795,0.71,438,2.13,1313,69.9,43076,
B11 BCG_3.fcs,100,150000,54.7,82097,89.2,73258,89.1,65284,43.2,28215,34.1,9619,13.4,1289,16.7,1606,55.2,5314,14.7,1410,1.12,317,52.1,14714,4.14,609,3.55,522,97.1,507,5.92,871,86.4,12712,11.8,1739,1.11,163,37.3,5492,49.7,7320,12.6,3565,56.4,36819,4.81,1770,63.5,23368,1.88,694,9.32,3432,10.4,3833,36.2,1389,14.2,545,9.68,371,39.9,1528,78.4,28860,38.9,25367,0.78,509,1.93,1257,58.4,38151,
B12 BCG_4.fcs,100,150000,50.1,75150,87.9,66064,89.7,59227,53.7,31810,32.0,10180,15.5,1576,17.7,1800,54.5,5552,12.3,1252,0.55,175,56.3,17920,3.88,695,4.26,764,97.9,748,6.22,1115,85.6,15346,14.3,2568,0.90,162,43.8,7846,41.0,7344,11.1,3535,46.0,27230,7.73,2105,47.5,12933,2.16,587,17.1,4661,15.6,4238,37.3,1579,13.9,591,8.49,360,40.3,1708,65.2,17744,50.2,29706,1.46,864,2.56,1519,45.8,27138,
C9 ID93_1.fcs,100,150000,41.4,62166,90.1,56024,86.2,48287,54.2,26171,37.3,9756,6.79,662,8.31,811,63.8,6223,21.1,2060,1.23,323,49.5,12966,2.89,375,2.33,302,95.0,287,3.63,471,91.1,11818,7.54,978,0.79,103,36.9,4786,54.8,7099,11.9,3126,45.4,21935,4.70,1032,38.7,8491,3.16,693,17.8,3897,9.40,2061,47.1,971,7.81,161,11.7,242,33.3,687,69.7,15284,49.0,23678,1.59,766,2.76,1334,46.6,22509,
C10 ID93_2.fcs,100,150000,41.2,61845,88.4,54657,83.3,45506,47.9,21818,38.0,8293,11.1,921,11.7,969,62.1,5152,15.1,1251,0.91,198,49.0,10687,3.14,336,2.96,316,97.5,308,5.67,606,88.2,9429,13.6,1453,0.80,85.0,37.5,4011,48.1,5138,12.1,2640,51.7,23537,6.52,1534,48.3,11375,2.42,569,10.8,2542,11.5,2697,36.7,990,9.79,264,7.49,202,46.0,1241,75.3,17729,44.1,20048,1.10,501,1.88,855,53.0,24102,
C12 ID93_4.fcs,100,150000,49.9,74858,90.4,67652,84.5,57192,53.8,30745,35.0,10768,14.6,1576,9.39,1011,61.6,6634,14.4,1547,1.67,512,53.8,16535,2.35,388,2.30,380,96.6,367,3.74,619,91.6,15148,16.4,2707,0.57,94.0,36.4,6016,46.7,7718,9.53,2930,45.9,26253,4.52,1186,59.5,15615,2.39,627,12.8,3356,10.3,2693,30.7,826,19.5,524,11.7,316,38.1,1027,74.6,19577,50.4,28811,0.71,405,1.62,926,47.3,27050,
D9 BCG+ID93_1.fcs,100,150000,43.1,64590,90.1,58164,88.9,51723,47.0,24328,32.4,7879,23.6,1856,21.6,1704,42.3,3336,12.5,983,0.63,154,54.3,13216,3.35,443,3.12,412,96.6,398,4.87,644,88.7,11717,19.8,2616,1.38,183,42.3,5596,36.5,4821,12.7,3079,52.7,27270,3.95,1077,53.3,14547,2.12,579,10.6,2891,9.40,2563,55.2,1416,8.93,229,7.34,188,28.5,730,77.9,21237,43.4,22456,1.66,860,3.10,1604,51.8,26803,
D10 BCG+ID93_2.fcs,100,150000,39.2,58832,90.2,53066,83.3,44208,44.0,19464,34.6,6739,22.2,1497,27.4,1847,43.4,2923,7.00,472,0.86,168,52.6,10247,3.10,318,3.33,341,97.7,333,7.99,819,85.6,8769,18.7,1915,1.48,152,41.9,4296,37.9,3884,11.9,2310,55.9,24723,4.89,1210,42.9,10608,2.00,494,8.44,2086,8.84,2186,37.5,820,11.0,241,9.97,218,41.5,907,80.7,19957,36.7,16204,0.97,428,1.79,790,60.6,26786,
D11 BCG+ID93_3.fcs,100,150000,44.3,66403,91.6,60855,88.3,53706,48.3,25924,37.8,9788,23.2,2273,28.1,2754,38.6,3783,9.99,978,0.85,221,50.5,13102,3.70,485,3.15,413,96.9,400,6.63,869,86.5,11335,22.3,2926,1.66,218,39.1,5122,36.9,4836,10.9,2813,51.5,27655,4.49,1243,49.1,13591,1.94,537,9.29,2569,8.58,2374,41.6,987,11.0,261,9.31,221,38.1,905,80.2,22175,45.2,24256,0.96,513,1.73,927,52.2,28010,
D12 BCG+ID93_4.fcs,100,150000,41.9,62794,90.6,56916,89.1,50727,39.6,20086,36.8,7392,20.2,1495,25.6,1892,44.7,3301,9.52,704,0.73,146,50.2,10091,4.60,464,3.84,387,96.4,373,6.13,619,85.4,8621,18.8,1900,1.50,151,37.2,3755,42.5,4285,12.2,2457,60.2,30532,4.14,1263,63.7,19434,1.72,524,8.55,2611,8.87,2708,40.9,1108,13.1,354,8.60,233,37.4,1013,80.9,24689,36.7,18607,0.85,429,1.82,925,60.7,30766,
Mean,100,150000,46.3,69472,89.2,61932,85.8,53230,47.5,25182,34.1,8572,15.5,1307,15.0,1262,53.5,4622,16.0,1381,0.92,235,53.7,13544,3.26,433,3.29,442,96.5,427,5.51,729,87.9,11940,14.0,1856,0.93,121,37.3,5054,47.8,6513,11.3,2830,52.3,27910,5.66,1538,48.2,13906,2.28,619,11.0,2977,12.3,3367,40.6,1349,10.1,327,7.46,228,41.8,1463,74.5,20946,42.0,22299,0.90,479,2.06,1103,55.0,29349,
SD,0,0,4.81,7213,1.93,6430,3.81,6735,6.11,4146,2.51,1470,5.20,442,8.16,670,9.22,1264,5.26,537,0.28,98.9,3.41,2554,0.92,119,0.73,118,1.57,118,1.42,166,2.78,2406,4.44,580,0.43,49.7,4.03,1164,7.63,1738,1.77,516,6.11,5546,1.81,461,11.5,5881,0.46,77.0,3.20,746,4.00,1050,6.87,407,4.51,150,3.48,94.7,8.70,723,5.99,5516,6.96,4496,0.42,223,0.67,399,7.31,5814,
